level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
176,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
177,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
178,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
179,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
180,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
181,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
182,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
183,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
184,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
185,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
186,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
187,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
188,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
189,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
190,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
191,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
192,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
193,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
194,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
195,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
196,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
197,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
198,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
199,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
200,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
201,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
202,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
